id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,away.conferenceId,game_id,season_type,status.type.altDetail,season,groups.id,groups.name,groups.shortName,groups.isConference,tournamentId,PBP,team_box,player_box
400949062,s:40~l:41~e:400949062~c:400949062,2017-03-31T00:00Z,0,TRUE,TRUE,FALSE,FALSE,"[{'type': 'event', 'headline': 'NIT - CHAMPIONSHIP'}]",2017-03-31T00:00Z,,"",1830,Madison Square Garden,New York,NY,19812,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2628,s:40~l:41~t:2628,TCU,Horned Frogs,TCU,TCU Horned Frogs,TCU,3C377D,f1f2f3,TRUE,2194,https://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,8,59,s:40~l:41~t:59,Georgia Tech,Yellow Jackets,GT,Georgia Tech Yellow Jackets,Georgia Tech,00223e,002c56,TRUE,2206,https://a.espncdn.com/i/teamlogos/ncaa/500/59.png,2,400949062,3,"",2017,,"","",,21,TRUE,TRUE,TRUE
400948289,s:40~l:41~e:400948289~c:400948289,2017-03-29T01:28Z,0,TRUE,TRUE,FALSE,FALSE,"[{'type': 'event', 'headline': 'NIT - SEMIFINAL'}]",2017-03-29T01:28Z,,"",1830,Madison Square Garden,New York,NY,19812,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2116,s:40~l:41~t:2116,UCF,Knights,UCF,UCF Knights,UCF,000000,231f20,TRUE,4484,https://a.espncdn.com/i/teamlogos/ncaa/500/2116.png,62,2628,s:40~l:41~t:2628,TCU,Horned Frogs,TCU,TCU Horned Frogs,TCU,3C377D,f1f2f3,TRUE,2194,https://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,8,400948289,3,"",2017,,"","",,21,TRUE,TRUE,TRUE
400948296,s:40~l:41~e:400948296~c:400948296,2017-03-28T23:00Z,0,TRUE,TRUE,FALSE,FALSE,"[{'type': 'event', 'headline': 'NIT - SEMIFINAL'}]",2017-03-28T23:00Z,,"",1830,Madison Square Garden,New York,NY,19812,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,59,s:40~l:41~t:59,Georgia Tech,Yellow Jackets,GT,Georgia Tech Yellow Jackets,Georgia Tech,00223e,002c56,TRUE,2206,https://a.espncdn.com/i/teamlogos/ncaa/500/59.png,2,2934,s:40~l:41~t:2934,CSU Bakersfield,Roadrunners,CSUB,CSU Bakersfield Roadrunners,CSU Bakersfield,003BAB,"",TRUE,2112,https://a.espncdn.com/i/teamlogos/ncaa/500/2934.png,30,400948296,3,"",2017,,"","",,21,TRUE,TRUE,TRUE
400947459,s:40~l:41~e:400947459~c:400947459,2017-03-23T01:00Z,0,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'NIT - QUARTERFINAL'}]",2017-03-23T01:00Z,,"",3416,College Park Center,Arlington,TX,7000,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,250,s:40~l:41~t:250,UT Arlington,Mavericks,UTA,UT Arlington Mavericks,UT Arlington,004b7c,f58024,TRUE,3416,https://a.espncdn.com/i/teamlogos/ncaa/500/250.png,27,2934,s:40~l:41~t:2934,CSU Bakersfield,Roadrunners,CSUB,CSU Bakersfield Roadrunners,CSU Bakersfield,003BAB,"",TRUE,2112,https://a.espncdn.com/i/teamlogos/ncaa/500/2934.png,30,400947459,3,"",2017,,"","",,21,TRUE,TRUE,TRUE
400947458,s:40~l:41~e:400947458~c:400947458,2017-03-22T23:00Z,0,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'NIT - QUARTERFINAL'}]",2017-03-22T23:00Z,1,STD,4484,Addition Financial Arena,Orlando,FL,10000,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2116,s:40~l:41~t:2116,UCF,Knights,UCF,UCF Knights,UCF,000000,231f20,TRUE,4484,https://a.espncdn.com/i/teamlogos/ncaa/500/2116.png,62,356,s:40~l:41~t:356,Illinois,Fighting Illini,ILL,Illinois Fighting Illini,Illinois,f77329,fa6300,TRUE,2127,https://a.espncdn.com/i/teamlogos/ncaa/500/356.png,7,400947458,3,"",2017,,"","",,21,TRUE,TRUE,TRUE
400947314,s:40~l:41~e:400947314~c:400947314,2017-03-22T01:00Z,0,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'NIT - QUARTERFINAL'}]",2017-03-22T01:00Z,,"",5168,The Sandy and John Black Pavilion at Ole Miss,Oxford,MS,9500,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,145,s:40~l:41~t:145,Ole Miss,Rebels,MISS,Ole Miss Rebels,Ole Miss,001148,00205b,TRUE,5168,https://a.espncdn.com/i/teamlogos/ncaa/500/145.png,23,59,s:40~l:41~t:59,Georgia Tech,Yellow Jackets,GT,Georgia Tech Yellow Jackets,Georgia Tech,00223e,002c56,TRUE,2206,https://a.espncdn.com/i/teamlogos/ncaa/500/59.png,2,400947314,3,"",2017,,"","",,21,TRUE,TRUE,TRUE
400947326,s:40~l:41~e:400947326~c:400947326,2017-03-21T23:00Z,0,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'NIT - QUARTERFINAL'}]",2017-03-21T23:00Z,1,STD,2194,Ed and Rae Schollmaier Arena,Fort Worth,TX,6700,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2628,s:40~l:41~t:2628,TCU,Horned Frogs,TCU,TCU Horned Frogs,TCU,3C377D,f1f2f3,TRUE,2194,https://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,8,257,s:40~l:41~t:257,Richmond,Spiders,RICH,Richmond Spiders,Richmond,9e0712,b90b2e,TRUE,4486,https://a.espncdn.com/i/teamlogos/ncaa/500/257.png,3,400947326,3,"",2017,,"","",,21,TRUE,TRUE,TRUE
400946997,s:40~l:41~e:400946997~c:400946997,2017-03-21T03:15Z,0,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'NIT - 2ND ROUND'}]",2017-03-21T03:15Z,,"",475,Moby Arena,Fort Collins,CO,8083,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,36,s:40~l:41~t:36,Colorado State,Rams,CSU,Colorado State Rams,Colorado State,004537,ffc425,TRUE,475,https://a.espncdn.com/i/teamlogos/ncaa/500/36.png,44,2934,s:40~l:41~t:2934,CSU Bakersfield,Roadrunners,CSUB,CSU Bakersfield Roadrunners,CSU Bakersfield,003BAB,"",TRUE,2112,https://a.espncdn.com/i/teamlogos/ncaa/500/2934.png,30,400946997,3,"",2017,,"","",,21,TRUE,TRUE,TRUE
400946812,s:40~l:41~e:400946812~c:400946812,2017-03-21T01:00Z,0,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'NIT - 2ND ROUND'}]",2017-03-21T01:00Z,,"",2127,State Farm Center,Champaign,IL,15544,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,356,s:40~l:41~t:356,Illinois,Fighting Illini,ILL,Illinois Fighting Illini,Illinois,f77329,fa6300,TRUE,2127,https://a.espncdn.com/i/teamlogos/ncaa/500/356.png,7,68,s:40~l:41~t:68,Boise State,Broncos,BSU,Boise State Broncos,Boise State,09347A,d8d9da,TRUE,2028,https://a.espncdn.com/i/teamlogos/ncaa/500/68.png,44,400946812,3,"",2017,,"","",,21,TRUE,TRUE,TRUE
400946996,s:40~l:41~e:400946996~c:400946996,2017-03-21T00:00Z,0,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'NIT - 2ND ROUND'}]",2017-03-21T00:00Z,,"",3416,College Park Center,Arlington,TX,7000,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,250,s:40~l:41~t:250,UT Arlington,Mavericks,UTA,UT Arlington Mavericks,UT Arlington,004b7c,f58024,TRUE,3416,https://a.espncdn.com/i/teamlogos/ncaa/500/250.png,27,2006,s:40~l:41~t:2006,Akron,Zips,AKR,Akron Zips,Akron,00285e,84754e,TRUE,2203,https://a.espncdn.com/i/teamlogos/ncaa/500/2006.png,14,400946996,3,"",2017,,"","",,21,TRUE,TRUE,TRUE
400946811,s:40~l:41~e:400946811~c:400946811,2017-03-20T23:00Z,0,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'NIT - 2ND ROUND'}]",2017-03-20T23:00Z,,"",1932,Redbird Arena,Normal,IL,10000,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2287,s:40~l:41~t:2287,Illinois State,Redbirds,ILST,Illinois State Redbirds,Illinois State,CE1126,ffe716,TRUE,1932,https://a.espncdn.com/i/teamlogos/ncaa/500/2287.png,18,2116,s:40~l:41~t:2116,UCF,Knights,UCF,UCF Knights,UCF,000000,231f20,TRUE,4484,https://a.espncdn.com/i/teamlogos/ncaa/500/2116.png,62,400946811,3,"",2017,,"","",,21,TRUE,TRUE,TRUE
400946809,s:40~l:41~e:400946809~c:400946809,2017-03-19T23:30Z,0,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'NIT - 2ND ROUND'}]",2017-03-19T23:30Z,,"",4486,Robins Center,Richmond,VA,7201,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,257,s:40~l:41~t:257,Richmond,Spiders,RICH,Richmond Spiders,Richmond,9e0712,b90b2e,TRUE,4486,https://a.espncdn.com/i/teamlogos/ncaa/500/257.png,3,2473,s:40~l:41~t:2473,Oakland,Golden Grizzlies,OAK,Oakland Golden Grizzlies,Oakland,04091c,bc955c,TRUE,2178,https://a.espncdn.com/i/teamlogos/ncaa/500/2473.png,45,400946809,3,"",2017,,"","",,21,TRUE,TRUE,TRUE
400946810,s:40~l:41~e:400946810~c:400946810,2017-03-19T21:00Z,0,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'NIT - 2ND ROUND'}]",2017-03-19T21:00Z,,"",363,Carver-Hawkeye Arena,Iowa City,IA,15000,TRUE,0,0:00,3,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,2294,s:40~l:41~t:2294,Iowa,Hawkeyes,IOWA,Iowa Hawkeyes,Iowa,000000,ffe100,TRUE,363,https://a.espncdn.com/i/teamlogos/ncaa/500/2294.png,7,2628,s:40~l:41~t:2628,TCU,Horned Frogs,TCU,TCU Horned Frogs,TCU,3C377D,f1f2f3,TRUE,2194,https://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,8,400946810,3,OT,2017,,"","",,21,TRUE,TRUE,TRUE
