Role,Number,Player,Ht,Wt,Yr,G,S,Min.Pct,ORtg,Poss.Pct,Shots.Pct,eFG.Pct,TS.Pct,OR.Pct,DR.Pct,ARate,TORate,Blk.Pct,Stl.Pct,FCper40,FDper40,FTRate,FTM,FTA,FT.Pct,FGM_2,FGA_2,FG_2.Pct,FGM_3,FGA_3,FG_3.Pct,Min.Pct.Rk,ORtg.Rk,Poss.Pct.Rk,Shots.Pct.Rk,eFG.Pct.Rk,TS.Pct.Rk,OR.Pct.Rk,DR.Pct.Rk,ARate.Rk,TORate.Rk,Blk.Pct.Rk,Stl.Pct.Rk,FCper40.Rk,FDper40.Rk,FTRate.Rk,FT.Pct.Rk,FG_2.Pct.Rk,FG_3.Pct.Rk,NationalRank,Team,Year,PlayerId
Go-to Guys,34,Kolton Kohl,7-0,240,Sr,25,25,48,113.1,29.1,30.6,54.6,58.3,11.3,18.4,18.4,13.7,6,1.1,3.2,6.5,42.2,67,92,0.728,113,204,0.554,4,14,0.286,NA,316,68,55,NA,NA,111,362,476,386,1,NA,NA,25,NA,NA,416,NA,National Rank,Abilene Christian,2021,39153
Major Contributor,42,Clay Gayman,6-6,220,Jr,22,NA,36.2,103.8,26.3,26.8,50.4,56.3,5.6,14.9,14.9,19.5,2.6,2.5,4,5.4,37.5,46,54,0.852,32,62,0.516,27,82,0.329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene Christian,2021,43576
Significant Contributor,32,Joe Pleasant,6-8,220,Jr,25,23,60.4,99.2,22.5,23.7,47.9,49.8,10.3,9.8,9.8,15.8,1.4,1.8,2.9,4.4,32.5,41,69,0.594,76,174,0.437,17,38,0.447,NA,NA,NA,NA,NA,NA,167,NA,NA,NA,NA,NA,NA,432,NA,NA,NA,NA,National Rank,Abilene Christian,2021,43603
Significant Contributor,3,Airion Simmons,6-5,264,So,25,2,38.2,97.4,21.6,22.1,50.8,53.8,7.1,10.7,10.7,21.9,2.2,4,6.4,3.8,27.2,25,34,0.735,41,84,0.488,15,41,0.366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene Christian,2021,46451
Role Player,4,Damien Daniels,5-7,140,Jr,25,24,61.2,93.1,16.4,17.2,44.2,46.1,2,17,17.9,20.2,0.2,4.4,2.9,2.5,17.9,18,28,0.643,39,94,0.415,20,62,0.323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,National Rank,Abilene Christian,2021,43580
Role Player,20,Coryon Mason,6-0,190,Sr,21,18,59.2,106.5,19.3,20.7,51.9,54.4,2.7,17,17.8,15.8,0.8,1.8,2.9,3.8,30.8,38,56,0.679,57,120,0.475,25,62,0.403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203,National Rank,Abilene Christian,2021,46449
Role Player,12,Mahki Morris,6-3,184,Sr,25,7,46.6,101.1,18.2,19.4,53,55.6,2.7,11,11.6,19.9,0.8,2.3,4.8,3.4,28.4,27,38,0.711,32,63,0.508,26,71,0.366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Rank,Abilene Christian,2021,46450
Role Player,1,Logan McLaughlin,6-1,185,Fr,23,NA,17.4,83.8,19.6,22.1,43.9,44.6,1.9,13.4,13.4,23.2,0,1.3,4.1,2.3,8.8,3,5,0.6,4,12,0.333,14,45,0.311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene Christian,2021,48993
Role Player,15,Immanuel Allen,6-4,215,So,10,NA,13.7,114.8,17.9,19.2,60.3,61,7.4,12.9,12.9,16.1,1.7,1.6,6.7,3.4,28.2,7,11,0.636,16,30,0.533,5,9,0.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene Christian,2021,46638
Limited Role,10,Reggie Miller,6-0,150,Sr,25,25,76.2,108.7,13.6,9.8,53.1,56.1,3.7,24.4,24.4,25,1.1,3.3,3.2,3,51.4,37,57,0.649,29,56,0.518,20,55,0.364,427,NA,NA,NA,421,457,NA,NA,207,NA,NA,98,NA,NA,98,NA,NA,NA,National Rank,Abilene Christian,2021,41453
Limited Role,11,Tobias Cameron,6-5,210,Jr,24,NA,22.9,129.2,15.2,13.6,60.9,64.2,7.9,26.4,26.4,17.8,2.1,3.9,5.8,2.7,28.3,11,13,0.846,13,17,0.765,10,29,0.345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene Christian,2021,41645
Benchwarmer,5,Cameron Steele,6-8,205,Fr,19,NA,8.8,120.2,21.4,22.2,69,67.8,3.9,14.2,14.2,15,1.4,0,6.4,5.6,51.7,9,15,0.6,8,15,0.533,8,14,0.571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene Christian,2021,48988
Benchwarmer,21,Jameson Richardson,6-8,230,Fr,15,NA,4.4,85.4,26.5,26.1,64.7,62.4,10.3,5.2,5.2,33.8,2.7,0,10,3.6,17.6,1,3,0.333,8,13,0.615,2,4,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene Christian,2021,48990
Benchwarmer,33,Paul Hiepler,6-4,190,Sr,16,1,4,90.4,16.6,13.5,18.8,42.4,0,11.8,11.8,17,6,4.2,1,6,100,7,8,0.875,0,2,0,1,6,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene Christian,2021,41407
