Role,Number,Player,Ht,Wt,Yr,G,Min.Pct,ORtg,Poss.Pct,Shots.Pct,eFG.Pct,TS.Pct,OR.Pct,DR.Pct,ARate,TORate,Blk.Pct,Stl.Pct,FCper40,FDper40,FTRate,FTM,FTA,FT.Pct,FGM_2,FGA_2,FG_2.Pct,FGM_3,FGA_3,FG_3.Pct,Min.Pct.Rk,ORtg.Rk,Poss.Pct.Rk,Shots.Pct.Rk,eFG.Pct.Rk,TS.Pct.Rk,OR.Pct.Rk,DR.Pct.Rk,ARate.Rk,TORate.Rk,Blk.Pct.Rk,Stl.Pct.Rk,FCper40.Rk,FDper40.Rk,FTRate.Rk,FT.Pct.Rk,FG_2.Pct.Rk,FG_3.Pct.Rk,NationalRank,Team,Year,PlayerId
Major Contributor,12,Tim Anderson,6-3,180,Sr,30,90.1,107.1,24.2,25.8,51.2,57.4,2.9,21,21.3,14.6,1.4,4.2,2.1,4.7,47.5,115,142,0.81,78,158,0.494,50,141,0.355,37,NA,393,366,NA,359,NA,NA,369,227,NA,46,188,432,278,2,NA,NA,National Rank,Air Force,2008,2670
Significant Contributor,10,Andrew Henke,6-6,215,Jr,30,69.2,101.6,23.8,26.2,60.1,62.1,1.4,16.2,16.2,20,0.8,1.1,3.9,4.1,36.9,60,86,0.698,50,90,0.556,60,143,0.42,NA,NA,448,323,67,91,NA,161,NA,NA,NA,NA,NA,NA,NA,NA,303,147,National Rank,Air Force,2008,4492
Significant Contributor,32,Eric Kenzik,6-8,208,Sr,30,28.7,93.3,21.2,22,49.4,53,3.4,18.8,18.8,21.2,1.4,1.6,5.3,3.4,32.1,19,26,0.731,28,57,0.491,8,24,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Air Force,2008,7030
Role Player,35,Evan Washington,6-4,190,Fr,30,83.1,86.8,16.3,14.9,54.1,54.7,3.4,11.8,11.8,28.1,0.9,1.7,2.1,2.8,39,34,62,0.548,53,105,0.505,22,54,0.407,177,NA,NA,NA,335,NA,NA,NA,NA,NA,NA,NA,178,NA,482,NA,NA,NA,National Rank,Air Force,2008,6211
Role Player,42,Anwar Johnson,6-5,190,Jr,30,78.1,97.8,19.2,15.5,42.3,50.1,4.6,18.9,18.9,17.5,0.8,1.8,3.5,5,92.3,93,144,0.646,60,139,0.432,4,17,0.235,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343,6,NA,NA,NA,National Rank,Air Force,2008,5980
Role Player,44,Keith Maren,6-8,240,Sr,30,70.2,95.3,17.5,18.6,56.8,57.1,2.1,14.4,14.4,21.8,3.3,2.7,3.6,2.9,31,29,52,0.558,49,86,0.57,31,82,0.378,NA,NA,NA,NA,183,385,NA,NA,NA,NA,355,391,NA,NA,NA,NA,233,451,National Rank,Air Force,2008,6319
Role Player,31,Matt Holland,6-6,205,Jr,30,42.2,99.4,18.3,22.1,57.5,59,4.9,9.6,9.6,19.6,1.2,1.5,3.5,2.2,12.5,12,15,0.8,24,43,0.558,30,77,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,342,National Rank,Air Force,2008,6758
Role Player,14,Adam Hood,6-1,181,Sr,28,23.4,97.7,16.9,7.7,54.3,68.7,2.1,19.5,19.5,36.7,0,2.1,5.2,4.8,182.6,34,42,0.81,5,14,0.357,5,9,0.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Air Force,2008,7171
Go-to Guys,21,Jeremiah Wood,6-6,245,Sr,31,62.9,102.2,30.5,27.8,51.8,53.4,13.3,21.7,21.7,20.1,1.8,2.5,3.8,5.9,50,94,165,0.57,162,321,0.505,6,9,0.667,NA,NA,36,206,NA,NA,44,107,355,NA,NA,NA,NA,104,228,NA,NA,NA,National Rank,Akron,2008,2738
Major Contributor,23,Brett McKnight,6-6,245,Fr,26,14.4,99.3,27.8,34.2,48.9,51,7.8,7.3,7.3,15.1,0.6,1.2,7.5,4,22.6,14,21,0.667,23,53,0.434,15,40,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Akron,2008,7434
Significant Contributor,11,Nick Dials,6-1,175,Sr,35,79.2,116.5,20.7,18.7,52.3,60,2.1,26,26.9,20.6,0.2,2,2.6,4.2,50.4,123,141,0.872,31,75,0.413,77,205,0.376,314,152,NA,NA,487,182,NA,NA,152,NA,NA,NA,48,NA,225,37,NA,477,National Rank,Akron,2008,3433
Significant Contributor,30,Chris McKnight,6-7,225,So,35,42.2,104.9,20.7,19.9,53.5,57.5,9,5.1,5.1,20.3,2.3,2,4.6,4.4,50,56,79,0.709,68,131,0.519,11,27,0.407,NA,NA,NA,NA,NA,NA,429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Rank,Akron,2008,5978
Significant Contributor,32,Jimmy Conyers,6-5,215,Jr,26,18.5,92.5,20.1,16.9,47.5,52.2,8.4,11,11,27.9,0.9,2.8,6.6,3.7,45.8,19,27,0.704,25,49,0.51,2,10,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Akron,2008,5868
Role Player,1,Cedrick Middleton,6-0,185,Sr,35,65.6,107.7,19,22.2,52.2,55.3,2.2,11,11.9,16.7,0.6,3.2,3.1,3,25.5,54,70,0.771,44,112,0.393,66,162,0.407,NA,NA,NA,NA,498,NA,NA,NA,NA,496,NA,182,NA,NA,NA,376,NA,214,National Rank,Akron,2008,2261
Role Player,2,Quade Milum,6-7,180,Sr,34,47.3,104.1,16.7,17.2,53.9,54.9,6.4,4.8,4.8,16.5,3.7,1.1,3,3.6,46.4,40,71,0.563,72,132,0.545,7,21,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,463,323,NA,NA,NA,NA,NA,364,NA,National Rank,Akron,2008,4579
Role Player,4,Steve McNees,6-2,180,Fr,34,44.5,96.7,18.4,18.5,48.7,51.2,2.5,19,19.7,25.9,0.4,1.4,4.1,2.4,18.7,22,29,0.759,17,46,0.37,39,109,0.358,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Rank,Akron,2008,6722
Limited Role,33,Nate Linhart,6-7,193,Jr,35,71.7,114.6,15.7,17.2,53.4,55.9,6.3,10.7,10.7,14.3,1.9,3.5,3.9,2.8,31.5,50,73,0.685,55,110,0.5,46,122,0.377,NA,221,NA,NA,392,487,NA,NA,NA,201,NA,136,NA,NA,NA,NA,NA,458,National Rank,Akron,2008,3884
Limited Role,12,Darryl Roberts,5-11,NA,So,26,23.1,108.1,15.9,16.5,54.9,60.1,1.5,8.7,8.7,21.2,0.4,0.9,2.3,3.1,37.5,23,27,0.852,17,41,0.415,15,31,0.484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Akron,2008,7176
Nearly Invisible,54,Mike Bardo,6-10,240,Fr,35,21.9,105.8,11.2,9.7,50,53.5,7.9,4.9,4.9,19.5,7.1,1,7.1,2.6,55,14,22,0.636,20,40,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Akron,2008,7207
