Role,Number,Player,Ht,Wt,Yr,G,Min.Pct,ORtg,Poss.Pct,Shots.Pct,eFG.Pct,TS.Pct,OR.Pct,DR.Pct,ARate,TORate,Blk.Pct,Stl.Pct,FCper40,FDper40,FTRate,FTM,FTA,FT.Pct,FGM_2,FGA_2,FG_2.Pct,FGM_3,FGA_3,FG_3.Pct,Min.Pct.Rk,ORtg.Rk,Poss.Pct.Rk,Shots.Pct.Rk,eFG.Pct.Rk,TS.Pct.Rk,OR.Pct.Rk,DR.Pct.Rk,ARate.Rk,TORate.Rk,Blk.Pct.Rk,Stl.Pct.Rk,FCper40.Rk,FDper40.Rk,FTRate.Rk,FT.Pct.Rk,FG_2.Pct.Rk,FG_3.Pct.Rk,NationalRank,Team,Year,PlayerId
Major Contributor,42,Anwar Johnson,6-5,200,Sr,31,82.7,101.6,24.2,22.2,47.6,54.4,4.9,19.7,19.7,18.3,0.6,2,3.6,5.6,68.6,125,175,0.714,117,245,0.478,3,10,0.3,199,NA,436,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,147,43,NA,NA,NA,National Rank,Air Force,2009,5980
Major Contributor,10,Andrew Henke,6-6,215,Sr,31,77.3,102.8,25.2,27.3,57.5,60.3,2,21.2,21.2,21.3,1.6,1.7,3.5,4,32.1,70,94,0.745,62,127,0.488,71,166,0.428,408,NA,315,243,136,141,NA,NA,381,NA,NA,NA,NA,NA,NA,491,NA,69,National Rank,Air Force,2009,4492
Significant Contributor,13,Trevor Noonan,6-7,210,Fr,25,19.4,86.5,23.1,23.7,39.8,41.6,9.8,23.8,23.8,21.6,3.8,1.9,5.2,2.9,18.8,7,12,0.583,15,34,0.441,7,30,0.233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Air Force,2009,8654
Role Player,31,Matt Holland,6-6,205,Sr,31,73.8,110.5,18.4,23.1,62.4,64,3.4,10.7,10.7,17.9,2.3,2.4,2.7,2.4,15.6,30,37,0.811,46,73,0.63,68,164,0.415,NA,375,NA,NA,22,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,124,National Rank,Air Force,2009,6758
Role Player,35,Evan Washington,6-4,195,So,31,71.3,89.9,19.2,17.2,45.3,49,4.6,16.3,16.3,22.8,1.7,1.4,2.3,4,55.9,57,95,0.6,65,139,0.468,8,31,0.258,NA,NA,NA,NA,NA,NA,NA,479,NA,NA,NA,NA,26,NA,155,NA,NA,NA,National Rank,Air Force,2009,6211
Role Player,50,Grant Parker,6-7,220,Jr,31,46.1,106.7,19.5,18.7,58.3,60.8,7.3,9.4,9.4,19.2,2.4,1.2,4.4,4.3,59.2,47,71,0.662,34,70,0.486,24,50,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,National Rank,Air Force,2009,8062
Role Player,15,Taylor Stewart,6-5,190,Fr,31,37.2,81.8,17.4,15.9,46.3,48.2,5.1,12,12.4,29.1,0.7,1.4,3.2,2.7,31.7,15,26,0.577,23,56,0.411,10,26,0.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Air Force,2009,8224
Role Player,34,Sammy Schafer,6-10,205,Fr,23,25.6,92.4,17,13.2,45.7,50,4.4,17.7,17.7,23.5,4.3,0.8,4.7,4.1,80.9,22,38,0.579,20,38,0.526,1,9,0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Air Force,2009,8495
Limited Role,33,Mike McLain,6-8,235,Jr,28,18.5,78,13.9,12.1,35.5,36,5.5,19.3,19.3,29.3,2,2,6.1,1.8,16.1,2,5,0.4,5,16,0.312,4,15,0.267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Air Force,2009,8697
Limited Role,32,Shawn Hempsey,6-1,186,Fr,16,12.5,64.1,13.5,13.2,37,36.9,0,13.2,13.2,31.9,1.9,1.7,3.9,1.7,13,1,3,0.333,7,12,0.583,1,11,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Air Force,2009,8868
Nearly Invisible,22,Avery Merriex,6-2,180,Jr,26,18.7,106.1,10.4,11.2,50,53.3,3.6,7.8,7.8,13.9,0,1.1,2.9,2.3,41.4,8,12,0.667,7,17,0.412,5,12,0.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Air Force,2009,8686
Go-to Guys,23,Brett McKnight,6-6,245,So,36,52.6,97.9,30.4,32.6,47.6,51.1,7.6,14.4,14.4,17.9,1,1.7,5.2,5.5,35.6,82,120,0.683,120,249,0.482,27,88,0.307,NA,NA,39,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,166,NA,NA,NA,NA,National Rank,Akron,2009,7434
Major Contributor,24,Anthony Hitchens,5-9,168,Fr,35,54,90.7,25.5,25.7,47.4,50.6,1.4,23,23.1,26.2,0.2,3.4,4.1,3.6,23.4,48,64,0.75,62,134,0.463,45,139,0.324,NA,NA,283,385,NA,NA,NA,NA,292,NA,NA,137,NA,NA,NA,NA,NA,NA,National Rank,Akron,2009,7929
Significant Contributor,30,Chris McKnight,6-7,225,Jr,36,61.4,106.2,21.1,19.2,49.6,54.2,9,9.5,9.5,16.2,1.6,1.9,3.4,5.5,67.2,102,156,0.654,91,185,0.492,16,47,0.34,NA,NA,NA,NA,NA,NA,446,NA,NA,NA,NA,NA,NA,174,53,NA,NA,NA,National Rank,Akron,2009,5978
Significant Contributor,13,Nikola Cvetinovic,6-8,230,Fr,36,33.1,98.1,20.9,20.1,48.5,51.5,8.9,10.5,10.5,20.1,0.5,2.4,6.5,4.1,42,35,55,0.636,62,129,0.481,1,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Akron,2009,8316
