Role,Number,Player,Ht,Wt,Yr,G,S,Min.Pct,ORtg,Poss.Pct,Shots.Pct,eFG.Pct,TS.Pct,OR.Pct,DR.Pct,ARate,TORate,Blk.Pct,Stl.Pct,FCper40,FDper40,FTRate,FTM,FTA,FT.Pct,FGM_2,FGA_2,FG_2.Pct,FGM_3,FGA_3,FG_3.Pct,Min.Pct.Rk,ORtg.Rk,Poss.Pct.Rk,Shots.Pct.Rk,eFG.Pct.Rk,TS.Pct.Rk,OR.Pct.Rk,DR.Pct.Rk,ARate.Rk,TORate.Rk,Blk.Pct.Rk,Stl.Pct.Rk,FCper40.Rk,FDper40.Rk,FTRate.Rk,FT.Pct.Rk,FG_2.Pct.Rk,FG_3.Pct.Rk,NationalRank,Team,Year,PlayerId
Go-to Guys,5,Julian Edmonson,6-1,195,Jr,20,5,47.1,87.5,32.6,33.6,41.3,49.1,2.2,11,11.3,19.8,0.3,2.2,4.8,6.9,55.1,69,92,0.75,42,111,0.378,18,56,0.321,NA,NA,15,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,National Rank,Abilene Christian,2014,18636
Go-to Guys,11,Harrison Hawkins,6-0,175,Jr,9,9,34.5,96.3,28.4,28.3,44.2,53.5,1.7,23.6,23.6,21.6,0,1.2,3.5,5.5,49.5,45,51,0.882,20,60,0.333,17,43,0.395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene Christian,2014,18637
Major Contributor,21,James Pegues,6-6,220,So,21,NA,34,78.6,24.7,23.4,41.1,47.3,7.4,9.9,9.9,29.4,0.8,2.1,7.2,3.7,33.3,23,28,0.821,33,79,0.418,1,5,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene Christian,2014,18640
Major Contributor,1,LaDarrien Williams,5-10,190,Jr,9,8,32.2,90.8,27.5,29.2,40.4,45.6,3.2,27.6,27.6,16.8,0.4,2,4.4,5.1,43.4,29,43,0.674,28,73,0.384,8,26,0.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene Christian,2014,18632
Major Contributor,33,Jacob Lancaster,6-10,235,Jr,21,5,30.3,92.3,24.2,25.7,53.7,54.8,9.3,0,0,21.2,5.9,0.5,4.8,4.5,42.7,20,35,0.571,44,82,0.537,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene Christian,2014,18641
Role Player,3,Parker Wentz,5-9,160,So,21,20,87.1,107.6,18.5,19.2,55.7,61.8,0.3,17,17.4,21.5,0,2.2,2.9,3.4,40.3,63,71,0.887,41,79,0.519,38,97,0.392,88,NA,NA,NA,216,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,264,National Rank,Abilene Christian,2014,18634
Limited Role,12,Austin Cooke,6-7,210,So,21,21,78.7,112.3,13.8,15.4,55.9,58.1,5.5,12.7,12.7,16.3,0.3,1.9,3.2,2.3,27.3,25,35,0.714,16,36,0.444,37,92,0.402,385,462,NA,NA,201,3,NA,483,NA,NA,NA,NA,NA,NA,NA,NA,NA,195,National Rank,Abilene Christian,2014,18638
Limited Role,4,Michael Grant,6-5,195,Fr,21,13,56.6,83.6,15.1,12.2,41.1,48.3,4.2,9.4,9.4,27.3,2.3,2,4.2,3.5,69.9,34,51,0.667,30,69,0.435,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Rank,Abilene Christian,2014,18635
Limited Role,2,Rafael Farley,6-5,195,Jr,18,8,34.5,95.2,15.5,21.2,50,51.7,1.3,5,5,15.9,0.4,0.8,3.1,1.7,9.1,6,7,0.857,7,26,0.269,21,51,0.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene Christian,2014,18633
Nearly Invisible,0,Riley Payne,6-5,200,Fr,21,16,49,74.5,10.9,8.5,38.6,45.1,4.5,4.7,4.7,33,0,1.3,6.5,2.3,54.5,16,24,0.667,17,44,0.386,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Rank,Abilene Christian,2014,18628
