Role,Number,Player,Ht,Wt,Yr,G,S,Min.Pct,ORtg,Poss.Pct,Shots.Pct,eFG.Pct,TS.Pct,OR.Pct,DR.Pct,ARate,TORate,Blk.Pct,Stl.Pct,FCper40,FDper40,FTRate,FTM,FTA,FT.Pct,FGM_2,FGA_2,FG_2.Pct,FGM_3,FGA_3,FG_3.Pct,Min.Pct.Rk,ORtg.Rk,Poss.Pct.Rk,Shots.Pct.Rk,eFG.Pct.Rk,TS.Pct.Rk,OR.Pct.Rk,DR.Pct.Rk,ARate.Rk,TORate.Rk,Blk.Pct.Rk,Stl.Pct.Rk,FCper40.Rk,FDper40.Rk,FTRate.Rk,FT.Pct.Rk,FG_2.Pct.Rk,FG_3.Pct.Rk,NationalRank,Team,Year,PlayerId
Major Contributor,34,Kolton Kohl,7-0,240,Jr,27,17,45.2,103.5,25,26.6,49.5,54.3,8.2,9.5,9.5,15.6,4.6,1.7,4.5,5.4,46.1,61,84,0.726,90,178,0.506,0,4,0,NA,NA,338,284,NA,NA,406,154,NA,NA,191,NA,NA,176,NA,NA,NA,NA,National Rank,Abilene Christian,2020,39153
Major Contributor,42,Clay Gayman,6-6,220,So,27,10,40.8,112.5,25.4,25.9,57.2,61.8,9.1,13.3,13.3,17.9,5.9,0.9,5,5.5,48.1,60,77,0.779,66,116,0.569,17,44,0.386,NA,314,306,337,NA,NA,299,NA,NA,NA,107,NA,NA,152,NA,384,273,NA,National Rank,Abilene Christian,2020,43576
Significant Contributor,5,Payten Ricks,6-2,190,Sr,27,27,82.7,108.3,21.2,23.6,51.5,57.7,0.8,12.5,12.5,16.2,0,3.9,2.3,4.5,41.5,104,123,0.846,43,91,0.473,73,205,0.356,211,NA,NA,NA,NA,267,NA,NA,NA,NA,NA,28,352,439,286,123,NA,NA,National Rank,Abilene Christian,2020,39472
Significant Contributor,32,Joe Pleasant,6-8,220,So,25,25,59.5,101.5,22.8,23.6,52.8,56.4,7.7,6.9,6.9,19.4,0.7,1.4,4.2,4.6,42.7,64,91,0.703,93,177,0.525,13,36,0.361,NA,NA,NA,NA,NA,NA,464,NA,NA,NA,NA,NA,NA,378,NA,NA,NA,NA,National Rank,Abilene Christian,2020,43603
Significant Contributor,3,Airion Simmons,6-5,264,Fr,27,NA,33.5,98.4,20.5,20.3,53.4,54.6,9.8,12.7,12.7,23.3,2.9,3.7,6.1,3.3,29.1,18,30,0.6,37,71,0.521,12,32,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene Christian,2020,46451
Significant Contributor,23,Hayden Howell,6-7,225,Sr,27,2,19.8,87.7,21.1,22,45.5,49.3,5.9,7.8,7.8,23.5,2.8,0.5,7.5,3.4,28.8,14,19,0.737,27,56,0.482,2,10,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene Christian,2020,30005
Role Player,20,Coryon Mason,6-0,190,Jr,27,24,60.6,111.7,17.5,17.4,53.4,58.7,3.3,15,15.1,16.6,1.3,2.4,5,4.1,51.9,63,83,0.759,60,111,0.541,17,49,0.347,NA,362,NA,NA,335,206,NA,NA,NA,NA,NA,459,NA,NA,122,495,467,NA,National Rank,Abilene Christian,2020,46449
Role Player,4,Damien Daniels,5-7,140,So,27,12,51.5,97,18.2,16.2,45.2,49.9,3.3,27.7,27.7,24.9,0,3.1,4.5,3,34.1,32,43,0.744,33,68,0.485,16,58,0.276,NA,NA,NA,NA,NA,NA,NA,NA,123,NA,NA,142,NA,NA,NA,NA,NA,NA,National Rank,Abilene Christian,2020,43580
Role Player,12,Mahki Morris,6-3,184,Jr,13,1,11.3,71.7,19.1,19.9,36.8,41.5,3.8,4.6,4.6,28.8,1,1.8,4.8,2.7,20.6,6,7,0.857,5,17,0.294,5,17,0.294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene Christian,2020,46450
Limited Role,1,Reggie Miller,6-0,150,Jr,27,15,47.6,75.2,14.7,12.1,32.8,38.1,2.7,17.1,17.1,30.3,0.5,3.1,2.8,2.7,40.2,22,35,0.629,15,36,0.417,9,51,0.176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134,NA,NA,NA,NA,NA,NA,National Rank,Abilene Christian,2020,41453
