Role,Number,Player,Ht,Wt,Yr,G,Min.Pct,ORtg,Poss.Pct,Shots.Pct,eFG.Pct,TS.Pct,OR.Pct,DR.Pct,ARate,TORate,Blk.Pct,Stl.Pct,FCper40,FDper40,FTRate,FTM,FTA,FT.Pct,FGM_2,FGA_2,FG_2.Pct,FGM_3,FGA_3,FG_3.Pct,Min.Pct.Rk,ORtg.Rk,Poss.Pct.Rk,Shots.Pct.Rk,eFG.Pct.Rk,TS.Pct.Rk,OR.Pct.Rk,DR.Pct.Rk,ARate.Rk,TORate.Rk,Blk.Pct.Rk,Stl.Pct.Rk,FCper40.Rk,FDper40.Rk,FTRate.Rk,FT.Pct.Rk,FG_2.Pct.Rk,FG_3.Pct.Rk,NationalRank,Team,Year,PlayerId
Major Contributor,NA,Tim Keller,,NA,So,28,86.2,114.7,24.3,28,61.7,65.5,0.3,19.4,19.4,15.2,0.8,3.2,2.7,2.8,36.1,81,97,0.835,49,96,0.51,78,173,0.451,109,163,333,174,28,19,NA,NA,411,221,NA,214,361,NA,NA,116,NA,25,National Rank,Air Force,2003,268
Major Contributor,NA,Joel Gerlach,,NA,Jr,28,71.2,110,24.1,27,61,63.7,2.9,8.8,8.8,14.7,4.7,2.6,4.5,3.6,50.5,77,108,0.713,69,118,0.585,41,96,0.427,NA,374,36,232,37,36,NA,NA,NA,175,164,435,NA,453,198,NA,118,83,National Rank,Air Force,2003,17273
Significant Contributor,NA,Tom Bellairs,6-7,220,Sr,28,61.5,106.3,20.1,17.7,55.4,55.6,6.2,28.7,28.7,21,0.6,1.4,4.5,2.3,43,28,52,0.538,40,67,0.597,18,54,0.333,NA,NA,NA,NA,21,465,NA,114,1,NA,NA,NA,NA,NA,344,NA,87,NA,National Rank,Air Force,2003,18269
Significant Contributor,NA,Nick Welch,,NA,,23,28.3,87,21.8,22.8,45.8,49.5,4.2,9,9,20,2.9,2.3,6.2,2.5,37.5,18,27,0.667,24,41,0.585,6,31,0.194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Air Force,2003,441
Role Player,NA,A.J. Kuhle,,NA,Jr,28,88.7,107,17.6,17.4,59.9,61,2.8,19.6,19.6,21.2,0.1,1.8,2.6,1.9,34.3,38,59,0.644,58,92,0.63,30,80,0.375,54,NA,NA,NA,52,1,NA,NA,396,NA,NA,NA,318,NA,NA,NA,36,359,National Rank,Air Force,2003,16932
Role Player,NA,Antoine Hood,,NA,,28,47.8,99.1,19.7,20.7,54.1,56.5,4,6.8,6.8,16.5,0,2,4,3,51.8,36,57,0.632,34,49,0.694,17,61,0.279,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,National Rank,Air Force,2003,175
Role Player,NA,David Peterson,,NA,,25,27.2,85.9,18.1,14.2,62.8,59.7,1.6,20.2,20.2,35.5,1.7,0.7,5.6,1.8,39.5,7,17,0.412,12,19,0.632,10,24,0.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Air Force,2003,18048
Limited Role,NA,Vernard Jenkins,5-9,177,Sr,25,64.7,95.8,12.8,10.3,53.4,52.4,0.9,19,19.1,25,0,2.1,3.2,1.9,55.4,19,41,0.463,20,33,0.606,13,41,0.317,NA,NA,NA,NA,339,NA,NA,NA,424,NA,NA,NA,NA,NA,123,NA,NA,NA,National Rank,Air Force,2003,18252
Limited Role,NA,Marc Holum,,NA,,23,19.1,92.2,14.4,11.7,56,52.1,6.9,8.8,8.8,23.6,0.6,2.4,3.6,2.3,64,6,16,0.375,8,9,0.889,4,16,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Air Force,2003,2811
Go-to Guys,NA,Derrick Tarver,,NA,Jr,28,82.8,108.6,28.8,31.5,53.8,56.8,3.4,11,11.2,13.4,0.1,0.9,2.4,5.7,52.8,140,215,0.651,138,245,0.563,54,162,0.333,204,468,65,57,307,354,NA,NA,NA,86,NA,NA,238,32,163,NA,205,NA,National Rank,Akron,2003,17067
Major Contributor,NA,Johnny Hollingsworth,,NA,Jr,28,86.2,115.5,24.4,23.3,54.1,60.2,2.2,23,23.1,16.3,0.2,3.6,2.7,5,61.1,148,192,0.771,137,257,0.533,22,57,0.386,112,139,324,NA,288,13,NA,NA,251,356,NA,118,379,92,82,35,394,28,National Rank,Akron,2003,17427
Significant Contributor,NA,Darryl Peterson,,NA,,28,70.9,114.8,21.5,23.5,58.3,62.9,5.9,7.4,7.4,17.6,0.9,1.4,4.2,3.4,38.1,83,99,0.838,108,195,0.554,29,65,0.446,NA,158,NA,NA,9,53,NA,NA,NA,NA,NA,NA,NA,NA,476,102,248,3,National Rank,Akron,2003,1487
Role Player,NA,Andy Hipsher,,NA,Jr,28,78.2,112.9,18.1,14.8,52.2,58.7,7,22.1,22.1,21.8,1.3,3.2,2.9,3.1,53,77,96,0.802,75,130,0.577,13,51,0.255,36,232,NA,NA,417,215,NA,381,289,NA,NA,205,NA,NA,157,23,14,NA,National Rank,Akron,2003,17259
Role Player,NA,Rob Preston,,NA,,28,44.1,106.8,18,20.5,52.1,53.9,6.6,10.8,10.8,15.9,4.2,1.3,4,2.1,23.4,22,33,0.667,57,101,0.564,11,40,0.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,309,2,NA,NA,NA,NA,NA,199,NA,National Rank,Akron,2003,1966
Role Player,NA,Nick Meyers,,NA,,20,23.4,99.9,16.5,15.8,50,54.4,6.7,5.4,5.4,20.9,4.4,2.2,7.2,2.9,46.6,19,27,0.704,29,58,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Akron,2003,3251
Limited Role,NA,Rick McFadden,,NA,So,21,32.2,93,12.1,12.3,40.3,42.8,3.5,13.9,13.9,20.8,0.6,1.6,5.5,1.4,19.4,8,12,0.667,16,29,0.552,6,33,0.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Akron,2003,1297
Nearly Invisible,NA,Byron Thompson,6-7,217,Jr,28,39.3,118,11.4,10.4,60.9,62.1,9.2,7.7,7.7,19.2,2.6,2.3,6.8,1.8,35.9,15,23,0.652,39,64,0.609,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Akron,2003,18382
Nearly Invisible,NA,Jason Hicks,5-10,165,So,28,24.1,90.5,11.9,9,44.1,48.3,4.2,11,11,28.2,0,1.9,2.9,2.3,58.8,12,20,0.6,3,13,0.231,8,21,0.381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Akron,2003,18470
Benchwarmer,NA,Jeff Penno,,NA,,15,6.4,137.5,15,19.1,73.7,73.7,3.5,20,20.8,15.8,0,1.6,4.9,0.7,0,0,0,0,2,6,0.333,8,13,0.615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Akron,2003,37205
Benchwarmer,NA,Brian Wood,,NA,,13,6.2,78.5,8.5,7.2,21.4,31.4,0,15,15.1,28.6,0,1.6,5.6,1.3,28.6,2,2,0.999,0,2,0,1,5,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Akron,2003,34673
Benchwarmer,NA,Matt Seibert,,NA,,14,6,71.8,13.8,15.9,33.3,33.5,7.5,0,0,18.2,6.2,2.5,3.4,1.7,20,1,3,0.333,5,15,0.333,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Akron,2003,35793
Major Contributor,NA,Maurice Williams,6-1,183,So,29,89.1,105.9,25.5,26.5,48.2,53.2,3.1,24,24.4,19.5,0.5,2.1,2.4,4.3,29.9,98,117,0.838,103,211,0.488,57,180,0.317,186,NA,268,306,NA,NA,NA,NA,255,NA,NA,NA,228,NA,NA,NA,NA,NA,National Rank,Alabama,2003,18091
Major Contributor,NA,Kennedy Winston,,NA,Fr,17,40.2,91.3,26.6,25.8,39.8,45.2,6.4,15.7,15.7,20.4,3.1,2.6,3,4.3,45.6,52,78,0.667,53,124,0.427,10,47,0.213,NA,NA,148,333,NA,NA,NA,NA,NA,NA,325,462,NA,196,NA,NA,NA,NA,National Rank,Alabama,2003,134
Significant Contributor,NA,Erwin Dudley,6-8,240,Sr,29,84.6,110.9,22.9,22.4,51.9,56.2,11.6,7.5,7.5,16.6,2.8,0.7,3.1,3.9,46.3,104,145,0.717,161,310,0.519,1,3,0.333,145,326,489,NA,442,416,126,11,NA,388,367,NA,NA,341,275,NA,NA,NA,National Rank,Alabama,2003,18116
Significant Contributor,NA,Kenny Walker,6-9,220,Sr,29,61.2,103.4,21.8,20.6,44.2,50.7,12,5.4,5.4,17.2,7.9,1.4,4.5,4,52.9,80,110,0.727,92,207,0.444,0,1,0,NA,NA,NA,NA,NA,NA,93,NA,NA,46,44,NA,NA,282,162,NA,NA,NA,National Rank,Alabama,2003,18272
Role Player,NA,Terrance Meade,6-2,190,Sr,25,35.2,93.9,16.9,17.7,43.2,46.1,6.3,9.1,9.1,21.9,0.5,1.6,3.4,2,24.3,17,25,0.68,16,34,0.471,19,69,0.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama,2003,18412
Role Player,NA,Emmett Thomas,,NA,Jr,23,34.8,106.8,18.4,20.7,50.4,52.2,5,12,12.9,17,0.8,2.2,4,2.2,23.5,18,28,0.643,24,44,0.545,24,75,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama,2003,17378
Limited Role,NA,Antoine Pettway,,NA,Jr,29,67.2,113.8,12.9,12.2,54.1,58.4,2.1,17,17.3,22.2,0.9,2.7,4,1.9,32.6,36,44,0.818,22,57,0.386,34,78,0.436,NA,192,NA,NA,295,24,NA,NA,NA,NA,NA,399,NA,NA,NA,NA,NA,52,National Rank,Alabama,2003,16937
Limited Role,NA,Earnest Shelton,,NA,So,29,48.3,103.2,14.2,16.6,49.2,49.5,4.2,9.4,9.4,17.4,0.2,3.1,3.8,1.5,16.5,11,22,0.5,13,28,0.464,35,105,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,487,NA,231,NA,NA,NA,NA,NA,NA,National Rank,Alabama,2003,289
Nearly Invisible,NA,Demetrius Smith,,NA,Jr,17,10,57.5,8.6,6.1,40,38.2,1,7.6,7.6,48.6,0,1.6,3.1,0.8,10,0,1,0,1,4,0.25,2,6,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama,2003,17689
Benchwarmer,NA,Lucky Williams,,NA,,11,7.6,82.7,8.3,5.6,57.1,53.3,2.5,4.1,4.1,33.3,0,2.1,5.9,1.9,71.4,2,5,0.4,4,6,0.667,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama,2003,37448
Benchwarmer,NA,Evan Brock,,NA,,14,7.5,96.3,17.2,17.8,40.9,44.1,9,2.3,2.3,12.1,0,3.5,3.7,3.4,50,6,11,0.545,9,22,0.409,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama,2003,2451
Benchwarmer,NA,Chuck Davis,,NA,,13,7.4,65.4,21.5,18,38.6,35.5,9.1,4.6,4.6,29.4,2.6,0,7.4,3.2,45.5,2,10,0.2,7,20,0.35,1,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama,2003,269
Benchwarmer,NA,Reggie Rambo,,NA,,15,7,79.9,18.8,16.3,36.8,38.9,13.6,7.2,7.2,27.4,5.4,2.2,9.8,2.2,31.6,3,6,0.5,7,18,0.389,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama,2003,36089
Significant Contributor,NA,Anthony Hayes,6-4,195,,24,67.8,104.9,21.3,23.4,53.6,57.1,5.3,15.1,15.1,20.9,1.4,2.8,3.1,2.9,28.5,60,76,0.789,86,165,0.521,38,102,0.373,NA,NA,NA,NA,324,327,NA,NA,NA,NA,NA,333,NA,NA,NA,281,49,376,National Rank,Alabama A&M,2003,34480
Significant Contributor,NA,Garik Nicholson,6-6,260,Sr,26,64.3,86,23.5,22.9,40.9,46.5,7,8.8,8.8,23.2,1.1,2.2,3.8,4.2,47,79,116,0.681,101,246,0.411,0,1,0,NA,NA,422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213,27,NA,NA,NA,National Rank,Alabama A&M,2003,35133
Significant Contributor,NA,Nigel Moore,6-4,200,Sr,27,61.1,109.9,20.9,21.6,51.6,57.1,8.5,14.6,14.6,18.4,0.9,2.6,4.3,3.7,41.9,75,93,0.806,74,161,0.46,27,61,0.443,NA,381,NA,NA,473,322,467,NA,NA,NA,NA,458,NA,424,373,211,NA,36,National Rank,Alabama A&M,2003,35943
Significant Contributor,NA,Obie Trotter,,NA,,27,59.9,86.4,20.7,19.6,39.3,45.4,4.5,21.6,21.6,27.5,0.4,3.7,3,2.8,33,52,65,0.8,37,109,0.339,27,88,0.307,NA,NA,NA,NA,NA,NA,NA,NA,309,NA,NA,98,NA,NA,NA,243,NA,NA,National Rank,Alabama A&M,2003,11
Significant Contributor,NA,Rickey Ricketts,,NA,So,27,51.5,97.2,21.4,28.5,48.6,49.1,3.6,11,11,16.1,0.7,2.8,3.5,1.8,11.7,16,29,0.552,30,76,0.395,60,171,0.351,NA,NA,NA,146,NA,NA,NA,NA,NA,33,NA,347,NA,NA,NA,NA,NA,NA,National Rank,Alabama A&M,2003,1301
Significant Contributor,NA,Terry Horton,,NA,Jr,27,34.1,108.1,21.8,23.7,55.9,58.7,7.6,9.2,9.2,18.7,1,2.7,3.6,3.6,37.5,36,51,0.706,46,90,0.511,20,46,0.435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama A&M,2003,17144
Role Player,NA,Otis Walker,,NA,Jr,23,19.6,77,19,14.9,30.6,42.2,11.3,2.6,2.6,29.6,1.4,1.5,8.1,4.1,69.4,25,34,0.735,15,49,0.306,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama A&M,2003,17283
