Role,Number,Player,Ht,Wt,Yr,G,Min.Pct,ORtg,Poss.Pct,Shots.Pct,eFG.Pct,TS.Pct,OR.Pct,DR.Pct,ARate,TORate,Blk.Pct,Stl.Pct,FCper40,FDper40,FTRate,FTM,FTA,FT.Pct,FGM_2,FGA_2,FG_2.Pct,FGM_3,FGA_3,FG_3.Pct,Min.Pct.Rk,ORtg.Rk,Poss.Pct.Rk,Shots.Pct.Rk,eFG.Pct.Rk,TS.Pct.Rk,OR.Pct.Rk,DR.Pct.Rk,ARate.Rk,TORate.Rk,Blk.Pct.Rk,Stl.Pct.Rk,FCper40.Rk,FDper40.Rk,FTRate.Rk,FT.Pct.Rk,FG_2.Pct.Rk,FG_3.Pct.Rk,NationalRank,Team,Year,PlayerId
Major Contributor,NA,Antoine Hood,,NA,Jr,30,83.6,106.8,24.5,25.8,52.9,56.2,5.3,14,14.2,15.7,0.3,2.8,2.8,3.8,26,63,80,0.787,103,191,0.539,40,117,0.342,175,NA,35,361,388,406,NA,NA,NA,338,NA,424,NA,NA,NA,274,342,NA,National Rank,Air Force,2005,175
Major Contributor,NA,Nick Welch,,NA,,30,76.7,105.1,27,24.6,54.6,57,4.9,24.7,24.7,20.1,2.3,3.1,3,4.6,36.8,66,99,0.667,78,153,0.51,46,116,0.397,441,NA,133,475,266,351,NA,NA,198,NA,484,274,NA,454,NA,NA,NA,234,National Rank,Air Force,2005,441
Significant Contributor,NA,Dan Nwaelele,,NA,So,19,34.4,105.2,22.3,23.3,55.7,58.3,5.1,14.2,14.2,19.4,0.3,2.8,3.1,3.1,19.3,18,22,0.818,29,60,0.483,23,54,0.426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Air Force,2005,2226
Significant Contributor,NA,Caleb Buchanan,6-7,235,Sr,30,27.4,96.5,20.5,19.9,44.2,46,8.1,17.5,17.5,19.1,4.7,4.1,5.9,2.6,15.4,8,12,0.667,15,39,0.385,13,39,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Air Force,2005,2538
Role Player,NA,Jacob Burtschi,,NA,So,30,67.8,113.3,17.7,19.9,55.5,57,6.4,9.6,9.6,11.9,0.7,4.3,3.4,2.7,19.3,26,37,0.703,60,88,0.682,31,104,0.298,NA,222,NA,NA,213,343,NA,174,NA,41,NA,44,NA,NA,NA,NA,3,NA,National Rank,Air Force,2005,837
Role Player,NA,Matt McCraw,,NA,So,30,64.2,128.4,17.4,18.2,67.4,70.7,1.6,16,16.5,15.4,0.5,3.1,2.3,3,29.3,44,49,0.898,30,59,0.508,55,108,0.509,NA,4,NA,NA,2,1,NA,NA,NA,317,NA,288,241,NA,NA,NA,NA,2,National Rank,Air Force,2005,1005
Limited Role,NA,Tim Keller,6-3,185,Sr,30,81.5,113,15,15.4,55.3,55.7,2.4,18,18.8,15.1,1.6,2.8,2.8,2.2,18.4,19,33,0.576,30,48,0.625,46,131,0.351,268,236,NA,NA,223,442,NA,NA,489,278,NA,423,NA,NA,NA,NA,NA,NA,National Rank,Air Force,2005,268
Limited Role,NA,Tim Anderson,,NA,Fr,28,24,82.3,13.1,11.1,28.9,38.7,3.4,8.3,8.3,20.9,0.5,4.7,4,2.7,47.4,14,18,0.778,5,12,0.417,4,26,0.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Air Force,2005,2670
Limited Role,NA,Marc Holum,,NA,,27,20.8,106.7,13.3,12.5,40.5,43.6,6.7,15,15.7,12.9,1.1,1.4,5.4,2.2,24.3,6,9,0.667,9,20,0.45,4,17,0.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Air Force,2005,2811
Major Contributor,NA,Darryl Peterson,,NA,Jr,28,53.1,106.7,26.6,31.2,52.6,57.5,4.7,6.9,6.9,14.9,1,1.5,3.4,4.8,33.3,76,90,0.844,94,173,0.543,32,97,0.33,NA,NA,159,5,NA,NA,NA,NA,NA,257,NA,NA,NA,348,NA,79,318,NA,National Rank,Akron,2005,1487
Significant Contributor,NA,Romeo Travis,,NA,So,29,70.1,107,23.9,21.8,53.8,56,12.6,15.8,15.8,18.6,5.9,2.5,3.5,4.9,49.8,77,124,0.621,125,237,0.527,6,12,0.5,NA,NA,437,NA,315,425,75,308,NA,NA,126,NA,NA,34,215,NA,454,NA,National Rank,Akron,2005,729
Significant Contributor,NA,Adam Walther,,NA,,29,47.6,102.6,23.5,26.8,51.4,54.6,1.3,17,17.3,17.5,0.2,2.5,2.4,3.7,26,41,54,0.759,26,61,0.426,54,147,0.367,NA,NA,483,264,NA,NA,NA,NA,NA,NA,NA,NA,292,NA,NA,NA,NA,458,National Rank,Akron,2005,1708
Significant Contributor,NA,Cedrick Middleton,,NA,Fr,29,33.5,92.9,23.4,24.1,45.1,48.2,3.3,20,20.2,20.4,0.6,3.1,4,3.7,29.5,26,39,0.667,34,84,0.405,17,48,0.354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Akron,2005,2261
Significant Contributor,NA,Jeremiah Wood,,NA,,10,22.5,100.5,23.3,22.4,54.9,54.2,10.3,15.2,15.2,19.2,0.8,2.7,3.6,4.5,42.7,17,35,0.486,45,82,0.549,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Akron,2005,2738
Significant Contributor,NA,Nick Meyers,6-9,230,Sr,23,10.5,85.9,20.4,18.7,54.7,54.5,8.6,6.8,6.8,30.6,2.6,2.4,8.1,2.9,25,4,8,0.5,16,30,0.533,1,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Akron,2005,3251
Role Player,NA,Dru Joyce,,NA,So,29,76.3,101.1,16.1,13.8,50.3,54.3,1.1,25,25.8,26.9,0.2,1.3,3,2.5,29.7,40,51,0.784,25,66,0.379,41,106,0.387,464,NA,NA,NA,NA,NA,NA,NA,163,NA,NA,NA,NA,NA,NA,NA,NA,308,National Rank,Akron,2005,464
Role Player,NA,Rick McFadden,6-7,200,Sr,29,57.3,111.2,18,19.7,55.2,58.4,5.4,12.4,12.4,17,0.5,1,4.3,3,27.7,40,51,0.784,34,80,0.425,45,104,0.433,NA,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,National Rank,Akron,2005,1297
Role Player,NA,Rob Preston,,NA,Jr,29,40.7,99.1,17.3,15.4,52.5,51.9,5.7,14,14,19.3,4.5,1.9,3.1,3.9,55.9,27,57,0.474,31,65,0.477,15,37,0.405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,National Rank,Akron,2005,1966
Limited Role,NA,Mario Collins,,NA,,28,42,113.2,12.4,9.8,55.2,58.5,1,22,22.4,21.3,0.7,3.1,2.4,2.8,58.2,26,39,0.667,25,39,0.641,8,28,0.286,NA,225,NA,NA,NA,NA,NA,NA,295,NA,NA,266,329,NA,NA,NA,NA,NA,National Rank,Akron,2005,1906
Limited Role,NA,Matt Futch,,NA,,29,32.1,87.7,15.7,15.9,39.2,41.7,9.4,4.9,4.9,17.9,6.3,1.1,7.2,2.8,32.5,15,27,0.556,28,72,0.389,3,11,0.273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Akron,2005,2320
Major Contributor,NA,Kennedy Winston,6-6,230,Jr,32,85.1,111.2,26.8,30.5,53,56.7,5,16.6,16.6,16.5,0.7,0.6,2.3,4.4,31.4,107,138,0.775,143,301,0.475,60,139,0.432,134,329,145,6,383,369,NA,NA,NA,428,NA,NA,254,NA,NA,347,NA,75,National Rank,Alabama,2005,134
Significant Contributor,NA,Chuck Davis,,NA,Jr,32,81.5,117.5,21.9,19.7,57,63,9.1,11.5,11.5,19.1,6,1.6,3.3,5.1,63.6,136,173,0.786,152,257,0.591,2,15,0.133,269,108,NA,NA,158,57,42,NA,NA,NA,118,NA,NA,282,61,288,88,NA,National Rank,Alabama,2005,269
Significant Contributor,NA,Earnest Shelton,6-3,215,Sr,32,80.9,118.6,22.6,25.5,59.9,63.5,2.6,12,12.8,17.5,0.3,1.9,2.2,4.1,35.7,101,125,0.808,73,121,0.603,91,229,0.397,289,81,NA,385,59,46,NA,NA,NA,NA,NA,NA,215,NA,NA,194,68,228,National Rank,Alabama,2005,289
Significant Contributor,NA,Jean Felix,,NA,,29,29.7,114.1,20.1,22,60.4,62,7.5,4.7,4.7,18.2,1.3,3,3.7,3.9,38.7,29,43,0.674,16,36,0.444,34,75,0.453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama,2005,2435
Role Player,NA,Jermareo Davidson,,NA,So,32,64,116.5,16.2,14.4,57.7,60.3,11.3,6.9,6.9,17.7,5.8,0.8,3.8,3.8,61.5,63,96,0.656,90,156,0.577,0,0,0,NA,133,NA,NA,124,134,169,35,NA,NA,128,NA,NA,NA,76,NA,133,NA,National Rank,Alabama,2005,1016
Role Player,NA,Albert Weber,6-2,175,Fr,21,15.4,81.7,19,21.4,39.3,39.3,4,13,13,22.5,1,0.9,2,2.2,14.3,3,8,0.375,13,27,0.481,6,29,0.207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama,2005,3040
Limited Role,NA,Ronald Steele,,NA,Fr,32,84.7,119.6,14.3,11.8,59.5,63.4,1.3,26,26.1,25.2,0.3,2,2.4,2.5,37.9,52,64,0.812,39,73,0.534,41,96,0.427,144,68,NA,NA,66,47,NA,NA,155,NA,NA,NA,295,NA,NA,174,391,96,National Rank,Alabama,2005,144
Limited Role,NA,Evan Brock,,NA,Jr,32,29.4,109.8,14.6,9.2,47.8,54.8,12.4,9.6,9.6,21.9,1.9,2.1,3.6,4.2,110.9,33,51,0.647,22,45,0.489,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama,2005,2451
Limited Role,NA,Justin Jonus,,NA,Fr,26,17.7,107.3,14.5,18,49.1,49.8,6.9,5.6,5.6,12.8,0,1.6,3.1,2.2,20.4,6,11,0.545,7,13,0.538,13,41,0.317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama,2005,2954
Go-to Guys,NA,Galen Gardenhire,,NA,,18,10.3,63.4,29.6,35.9,29.7,31.9,6.4,1.8,1.8,18.2,0,0.9,2.7,4.2,21.9,7,14,0.5,7,20,0.35,8,44,0.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama A&M,2005,3257
Major Contributor,NA,Obie Trotter,,NA,Jr,32,93,101.3,24.3,24.6,51.6,54.1,3.8,32.1,32.1,21.2,1,6.2,3,3.9,30,81,119,0.681,97,217,0.447,72,180,0.4,11,NA,37,471,487,NA,NA,NA,52,NA,NA,2,NA,NA,NA,NA,NA,204,National Rank,Alabama A&M,2005,11
Major Contributor,NA,Joe Martin,,NA,,31,76.3,98,25.1,26.6,49.3,50.1,12,8.8,8.8,14.7,1.1,1.8,3.1,5.2,43.3,78,152,0.513,146,287,0.509,18,64,0.281,463,NA,284,285,NA,NA,106,NA,NA,231,NA,NA,NA,233,357,NA,NA,NA,National Rank,Alabama A&M,2005,463
Significant Contributor,NA,Rickey Ricketts,6-2,190,Sr,32,57.2,90.3,23.4,29.5,38.2,42,2.3,16,16.6,10.7,0,2.8,3.7,3.9,25.7,52,75,0.693,41,100,0.41,47,192,0.245,NA,NA,NA,85,NA,NA,NA,NA,NA,15,NA,394,NA,NA,NA,NA,NA,NA,National Rank,Alabama A&M,2005,1301
Significant Contributor,NA,Marcus Jones,,NA,,32,53.8,91.6,23.6,18,44,52.8,1.5,26,26,26.6,0.3,3.6,2.9,6.2,80.4,97,135,0.719,53,116,0.457,14,52,0.269,NA,NA,48,NA,NA,NA,NA,NA,159,NA,NA,126,NA,81,NA,NA,NA,NA,National Rank,Alabama A&M,2005,1457
Significant Contributor,NA,Marcus Young,,NA,,32,47.8,104.3,20.5,19.6,50,57.9,2.4,16,16,20.8,0,2.8,2.6,4.8,54.3,74,88,0.841,42,92,0.457,26,70,0.371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,404,444,362,NA,83,NA,42,National Rank,Alabama A&M,2005,1697
Significant Contributor,NA,Brandon Neloms,6-2,210,Jr,27,12.3,85,20.4,25.9,46.4,46.8,3.4,3,3,18.4,0,2.3,5,2.5,14.5,4,8,0.5,6,16,0.375,13,39,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama A&M,2005,3164
Limited Role,NA,Andre Matthews,,NA,,31,58.9,88.3,15.8,14,52.4,49,6.3,8.8,8.8,20.9,1.4,2,5.1,3.9,60.1,30,86,0.349,75,140,0.536,0,3,0,NA,NA,NA,NA,NA,NA,NA,252,NA,NA,NA,NA,NA,NA,NA,NA,372,NA,National Rank,Alabama A&M,2005,1227
Limited Role,NA,Chris Collins,,NA,Jr,31,56.4,74.6,15.7,13.2,34.1,42.1,3.5,2.9,2.9,24.5,7.2,1.2,4.3,4.5,76,60,98,0.612,44,129,0.341,0,0,0,NA,NA,NA,NA,NA,NA,NA,272,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,National Rank,Alabama A&M,2005,1331
Nearly Invisible,NA,Kevin Smith,,NA,Jr,30,37.4,96.1,9.9,10.5,47.1,48.5,6.4,6.2,6.2,20,4.5,1.7,4.7,1.5,16.2,7,11,0.636,32,61,0.525,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama A&M,2005,2109
Nearly Invisible,NA,Kudus Ogbara,,NA,,25,19.7,66.4,10.8,9.7,21.2,28,6.7,4.6,4.6,21.6,3.2,1.9,5.6,2.6,51.5,9,17,0.529,7,29,0.241,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama A&M,2005,2857
Nearly Invisible,NA,Jermaine Shakespeare,6-7,220,Fr,14,14.7,87.6,11.1,9.1,56.5,52.3,6.8,2.3,2.3,25.6,3.3,1.6,6.5,2.8,60.9,5,14,0.357,13,23,0.565,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama A&M,2005,3066
Nearly Invisible,NA,Reginald Vilcean,6-7,210,Jr,15,14.5,41.3,10.1,5.2,7.7,14.1,6.9,6.1,6.1,44.2,1.6,0.6,6.4,2.3,76.9,3,10,0.3,1,13,0.077,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama A&M,2005,3077
Major Contributor,NA,Ralfeal Golden,6-4,190,,23,61.9,91.6,26.8,30.9,45.3,48.5,5.4,12.9,12.9,18.1,1.1,1.8,2.7,5,33.7,58,89,0.652,73,172,0.424,31,92,0.337,NA,NA,144,54,NA,NA,NA,279,NA,NA,NA,NA,NA,316,NA,NA,NA,NA,National Rank,Alabama St.,2005,1102
Significant Contributor,NA,Alexander Oliver,,NA,Jr,29,79.4,84.5,20.8,19.6,38.6,44.8,4.1,17,17.3,23.4,0.1,1.9,2.7,4.7,53,75,114,0.658,47,128,0.367,24,87,0.276,329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,436,159,NA,NA,NA,National Rank,Alabama St.,2005,329
Significant Contributor,NA,Kevin Spicer,,NA,,30,78.1,98.7,21.5,20.1,50.7,54.4,11.7,7,7,20.7,2.4,2,5.2,5.1,59.3,82,128,0.641,99,198,0.5,7,18,0.389,381,NA,NA,NA,NA,NA,126,146,NA,NA,462,NA,NA,277,102,NA,NA,NA,National Rank,Alabama St.,2005,381
Significant Contributor,NA,George Savage,6-2,185,Jr,20,32.4,95,21.6,28.6,43,46,5,10.2,10.2,13,0.7,2.3,3,3.4,20.3,19,26,0.731,13,44,0.295,28,84,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama St.,2005,2312
Significant Contributor,NA,Herbert Warren,,NA,,18,21.2,93.9,21.7,24,47.9,50.4,6.6,11.7,11.7,18.5,0.5,2.4,4.2,4.3,37.1,16,26,0.615,32,64,0.5,1,6,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama St.,2005,2794
Role Player,NA,Jermaine Smith,,NA,,30,70.1,86.4,18.2,15.9,37.7,44.7,7.2,10.4,10.4,21,0.8,1.6,2.9,4.9,74,70,114,0.614,49,131,0.374,6,23,0.261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331,22,NA,NA,NA,National Rank,Alabama St.,2005,726
Role Player,NA,Dustin Richmond,,NA,So,28,54.1,75.9,17,13.5,40.1,44.6,2.2,26.8,26.8,36.5,0.2,3.5,2.5,2.8,32.7,23,33,0.697,21,54,0.389,13,47,0.277,NA,NA,NA,NA,NA,NA,NA,NA,139,NA,NA,16,398,NA,NA,NA,NA,NA,National Rank,Alabama St.,2005,1445
Role Player,NA,Joel Bosh,,NA,Fr,30,39.8,76.9,19.1,17.1,44.7,46.3,8.1,4.9,4.9,29.2,2.5,1.6,3.9,3.8,45.7,22,43,0.512,42,90,0.467,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama St.,2005,1997
Role Player,NA,Richard Lott,,NA,Fr,30,36.9,97.3,19.2,18.9,41.1,51.8,6.7,7.2,7.2,20.1,3.6,1.5,4.7,4.6,56.2,47,54,0.87,38,93,0.409,1,3,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama St.,2005,2123
Role Player,NA,Lamarquis Blake,,NA,Jr,29,35.9,71.8,17.8,15.7,41,42.9,1.8,23,23.7,36.5,0.3,2.5,3.6,2.4,19.2,9,15,0.6,14,47,0.298,12,31,0.387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama St.,2005,2158
Role Player,NA,Cedric Mitchell,,NA,So,23,30.2,75.2,16.3,19,30.4,33.6,3.2,14.5,14.5,16.2,0.7,3,3.3,3.2,31.6,13,25,0.52,9,32,0.281,10,47,0.213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama St.,2005,2412
Major Contributor,NA,Jamar Wilson,,NA,So,27,88.7,100.8,27.2,23.3,49.5,58,2,25,25.5,26.5,0.9,2.2,3,5.9,61.2,154,186,0.828,95,211,0.45,37,93,0.398,64,NA,123,NA,NA,26,NA,NA,17,NA,NA,NA,NA,107,83,118,NA,224,National Rank,Albany,2005,64
Significant Contributor,NA,Lucious Jordan,,NA,Jr,28,89.8,99.4,23.8,25.9,47.8,51.1,4.8,14.8,14.8,18.2,0.3,2.4,2.5,4.4,37.3,85,128,0.664,92,215,0.428,48,128,0.375,45,NA,45,348,NA,NA,NA,NA,NA,NA,NA,NA,366,NA,NA,NA,NA,386,National Rank,Albany,2005,45
Significant Contributor,NA,Levi Levine,,NA,Jr,26,72.7,105.7,20.3,21.2,47.8,51.8,7.7,20.9,20.9,18.5,1.7,2.7,3.3,3.4,31.3,53,71,0.746,71,156,0.455,25,71,0.352,NA,NA,NA,NA,NA,NA,NA,NA,371,NA,NA,479,NA,NA,NA,498,NA,NA,National Rank,Albany,2005,601
Significant Contributor,NA,Kirsten Zoellner,,NA,Jr,28,62.3,84.7,20.1,19.3,41.2,43.9,10.7,6.7,6.7,23.2,2.8,1,3.9,3.8,41.2,40,73,0.548,73,177,0.412,0,0,0,NA,NA,NA,NA,NA,NA,226,NA,NA,NA,381,NA,NA,NA,402,NA,NA,NA,National Rank,Albany,2005,1083
Role Player,NA,Jon Iati,,NA,,6,14.5,121.9,18.2,22,59.6,62.1,1.5,17,17.7,14.3,0,1.9,2.4,3.1,27.7,10,13,0.769,4,13,0.308,16,34,0.471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Albany,2005,3076
