Role,Number,Player,Ht,Wt,Yr,G,S,Min.Pct,ORtg,Poss.Pct,Shots.Pct,eFG.Pct,TS.Pct,OR.Pct,DR.Pct,ARate,TORate,Blk.Pct,Stl.Pct,FCper40,FDper40,FTRate,FTM,FTA,FT.Pct,FGM_2,FGA_2,FG_2.Pct,FGM_3,FGA_3,FG_3.Pct,Min.Pct.Rk,ORtg.Rk,Poss.Pct.Rk,Shots.Pct.Rk,eFG.Pct.Rk,TS.Pct.Rk,OR.Pct.Rk,DR.Pct.Rk,ARate.Rk,TORate.Rk,Blk.Pct.Rk,Stl.Pct.Rk,FCper40.Rk,FDper40.Rk,FTRate.Rk,FT.Pct.Rk,FG_2.Pct.Rk,FG_3.Pct.Rk,NationalRank,Team,Year,PlayerId
Major Contributor,21,Jalone Friday,6-9,250,Fr,22,11,47.5,112.7,26.9,31.3,59.9,63.7,8,3.7,3.7,14.9,6.9,1.1,6.9,4.8,34.9,57,69,0.826,66,122,0.541,35,76,0.461,NA,416,184,62,NA,NA,437,194,NA,NA,67,NA,NA,421,NA,168,453,21,National Rank,Abilene Christian,2017,38799
Major Contributor,23,Hayden Howell,6-7,225,So,25,16,38.5,87.1,24.6,21.6,49.1,50.9,10.5,8.3,8.3,25,2.7,0.8,7.2,4.6,48.6,30,54,0.556,53,107,0.495,1,4,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene Christian,2017,30005
Significant Contributor,1,Jaren Lewis,6-6,230,So,25,25,80.5,98.4,23.6,22.9,51.8,55.7,5.2,14.1,14.1,21.1,1.6,3,3,4.3,41.5,73,102,0.716,114,219,0.521,9,27,0.333,295,NA,NA,NA,NA,NA,NA,283,NA,NA,NA,16,NA,NA,394,NA,NA,NA,National Rank,Abilene Christian,2017,30001
Significant Contributor,0,Jaylen Franklin,6-2,210,So,23,23,78.7,91.8,22.9,21.4,47.3,46.9,1.6,27.9,27.9,18.7,1.2,3.2,2.8,4.3,46,44,103,0.427,100,198,0.505,4,26,0.154,389,NA,NA,NA,NA,NA,NA,NA,112,NA,NA,13,NA,NA,269,NA,NA,NA,National Rank,Abilene Christian,2017,30000
Significant Contributor,15,Hayden Farquhar,6-7,230,So,25,5,34.3,115.5,21.4,25.8,62.3,62.9,8.2,11.2,11.2,14.2,1.4,1.5,5.5,2.8,17.8,14,21,0.667,27,52,0.519,31,66,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene Christian,2017,30004
Role Player,5,Payten Ricks,6-2,175,Fr,24,4,32.2,84.4,18.8,16.3,45,49,0.8,16,16.5,26.7,0,2.7,3.5,3.5,47.1,21,33,0.636,18,40,0.45,9,30,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene Christian,2017,39472
Role Player,4,Jovan Crnic,6-5,220,Sr,9,7,24.3,92.4,18.2,18.5,44.2,47,2,19,19.4,19.6,0,1.2,2.7,2.8,28.3,11,17,0.647,7,15,0.467,13,45,0.289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene Christian,2017,30003
Role Player,2,BJ Maxwell,6-5,190,Fr,14,NA,16,110.9,18.1,20.7,64.8,65.2,9.2,10.7,10.7,22.1,2.2,1.8,6.9,1.4,2.3,1,1,0.999,12,20,0.6,11,24,0.458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene Christian,2017,38144
Limited Role,10,Isaiah Tripp,6-1,190,Jr,25,15,58.2,100.8,14.7,14.6,51.3,56,1.3,11,11.9,20.3,0,1.3,4.1,2.8,38.9,34,44,0.773,22,43,0.512,24,70,0.343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Rank,Abilene Christian,2017,25002
Limited Role,11,Drake Green,6-3,180,Jr,23,15,56.5,100.7,12.1,14.6,55,56.5,0.7,9.2,9.2,19.5,1,1.9,3.7,1.3,6.4,7,7,0.999,5,15,0.333,37,95,0.389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,National Rank,Abilene Christian,2017,25005
Limited Role,3,Diamante Langston,6-2,185,Jr,22,4,16.5,66.5,13.2,7.7,47.1,48.5,0,11,11.9,42.8,0,2.1,4.3,2.7,70.6,6,12,0.5,8,15,0.533,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene Christian,2017,38510
Limited Role,14,Trey Lenox,6-3,210,Fr,23,NA,16.5,48.2,12.3,10,29.6,28.9,2.2,7.3,7.3,42.7,0.7,1.8,6.4,1.2,4.5,0,1,0,2,10,0.2,3,12,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene Christian,2017,39754
Major Contributor,22,Pervis Louder,6-3,185,So,22,1,14.3,82.1,24.8,22.2,43.8,47.2,3.8,12.7,12.7,24.7,1.5,1.6,5.8,5.3,48.2,16,27,0.593,14,38,0.368,7,18,0.389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Air Force,2017,30015
Significant Contributor,35,Hayden Graham,6-5,195,Sr,30,30,72.3,106.2,21.3,23.6,52.8,55,4.9,15.1,15.1,14.4,2.8,1.4,3.5,3.9,28,57,84,0.679,100,197,0.508,39,103,0.379,NA,NA,NA,NA,484,NA,NA,346,NA,484,427,NA,NA,NA,NA,NA,NA,469,National Rank,Air Force,2017,18650
Significant Contributor,33,Frank Toohey,6-7,220,Jr,31,31,62,111.6,22,19.7,56.1,61.6,8.9,13.8,13.8,19.7,1.7,1,5.5,5.1,53.7,91,115,0.791,90,165,0.545,20,49,0.408,NA,488,NA,NA,218,112,345,NA,NA,NA,NA,NA,NA,306,136,317,412,NA,National Rank,Air Force,2017,25017
Significant Contributor,12,Lavelle Scottie,6-6,205,Fr,31,3,35.6,97.6,21.6,21.1,46.2,51,4.8,13.2,13.2,16.9,3,1.7,3.6,4.9,47.7,43,63,0.683,46,108,0.426,10,24,0.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Air Force,2017,39191
Significant Contributor,32,Ryan Manning,6-6,200,Jr,29,3,32.4,104.5,20.7,25.3,52.4,53.9,5.6,9.3,9.3,12.4,0.3,1.6,2.5,3.2,18.8,18,27,0.667,32,60,0.533,29,84,0.345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Air Force,2017,27405
